Office,Location,Address Line 1,Address Line 2,City,State,Zipcode,Lat,Lng,FloorplanURL,EmergencyPlanURL
LJA Engineering,CORP,5350 South Staples St,Suite 425,Corpus Christi,TX,78411,27.70394205,-97.37171778,"https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Texas/CorpusChristi,%20TX_(CORP)_5350SouthStaplesSt.pdf?csf=1&web=1&e=BbOOcI","https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Texas/EmergencyFloorplans/CorpusChristi,%20TX_(CORP)_5350SouthStaplesSt_EmergencyPlan.pdf?csf=1&web=1&e=ATtxWd"
LJA Engineering,COSP,1125 Kelly Johnson Blvd,Suite 361,Colorado Springs,CO,80920,38.94877301,-104.8079882,"https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Colorado/ColoradoSprings,%20CO_(COSP)_1125KellyJohnsonBlvd.pdf?csf=1&web=1&e=E87cER","https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Colorado/EmergencyFloorplans/ColoradoSprings,%20CO_(COSP)_1125KellyJohnsonBlvd.pdf?csf=1&web=1&e=xMzFma"
LJA Engineering,DALL,6060 North Central Expressway,Suite 400,Dallas,TX,75206,32.8401489,-96.7756044,"https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Texas/Dallas,%20TX_(DALL)_6060NorthCentralExpy.pdf?csf=1&web=1&e=zBU6Jd","https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Texas/EmergencyFloorplans/Dallas,%20TX_(DALL)_6060NorthCentralExpy_EmergencyPlan.pdf?csf=1&web=1&e=5RJa3Z"
LJA Engineering,DEN2,4700 S Syracuse St,Suite 500,Denver,CO,80237,39.62724573,-104.8985111,"https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Colorado/Denver,%20CO_(DEN2)_4700SyracuseSt.pdf?csf=1&web=1&e=c6dbRl","https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Colorado/EmergencyFloorplans/Denver,%20CO_(DEN2)_4700SyracuseSt_EmergencyPlan.pdf?csf=1&web=1&e=8VrMQt"
LJA Engineering,DEN3,4582 S Ulster St,Suite 1320,Denver,CO,80237,39.63320778,-104.8988027,"https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Colorado/Denver,%20CO_(DEN3)_4582SouthUlsterSt.pdf?csf=1&web=1&e=gAvoTg","https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Colorado/EmergencyFloorplans/TBD_Denver,%20CO_(DEN3)_4582SouthUlsterSt_EmergencyPlan.pdf?csf=1&web=1&e=atmmIj"
LJA Engineering,EHOU,11821 East Freeway,Suite 360,Houston,TX,77029,29.774398,-95.230106,https://ljaeng.sharepoint.com/:b:/s/Floorplans/IQAfmcXHdOnlRolnAhHC_MO0AS5WWdZuqs4TIMxfb4VzNyU?e=NG80xW,"https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Texas/EmergencyFloorplans/Houston,%20TX_(EHOU)_11821EFreeway_EmergencyPlan.pdf?csf=1&web=1&e=GgakvP"
LJA Engineering,ELP2,601 N Mesa St,Suite 1440,El Paso,TX,79901,31.76202886,-106.4902384,"https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Texas/ElPaso,%20TX_(ELP2)_601NMesaSt.pdf?csf=1&web=1&e=2cKmCC","https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Texas/EmergencyFloorplans/TBD_ElPaso,%20TX_(ELP2)_601NMesaSt_EmergencyPlan.pdf?csf=1&web=1&e=ES2FZY"
The WLB Group,FLA2,403 N WC Riles,STE 1,Flagstaff,AZ,86001,35.20109784,-111.6455839,"https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Arizona/Flagstaff,%20AZ_(FLA2)_403NWCRiles.pdf?csf=1&web=1&e=hKmer4","https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Arizona/EmergencyFloorplans/TBD_Flagstaff,%20AZ_(FLA2)_403NWCRiles_EmergencyPlan.pdf?csf=1&web=1&e=ZUvdAQ"
LJA Engineering,FOR2,301 Commerce St,Suite 1850,Fort Worth,TX,76102,32.7560521,-97.3306501,https://ljaeng.sharepoint.com/:b:/s/Floorplans/IQAaHcrJe2jASbbZE6WvYZFtAadjbpqepbocRK6uzf1QAQY?e=pibCAr,"https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Texas/EmergencyFloorplans/TBD_FortWorth,%20TX_(FOR2)_301CommerceSt_EmergencyPlan.pdf?csf=1&web=1&e=6T0B8a"
LJA Engineering,FOR3,9900 Hillwood Parkway,Suite 200,Fort Worth,TX,76177,32.9202372,-97.3118548,https://ljaeng.sharepoint.com/:b:/s/Floorplans/IQBsN9JrX28sSaLZ4H5I4RzwAVlNQFNGxHd3Xkk4JAGpuGo?e=UUBKpW,"https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Texas/EmergencyFloorplans/FortWorth,%20TX_(FOR3)_9900HillwoodPkwy_EmergencyPlan.pdf?csf=1&web=1&e=bkkUlS"
